Calories,Carbs,Description,Fat,Image,Ingredients,Protein,Title,link
305,9 g,"Who doesn't hear the chimes of the ice cream truck when they think of Orange Dreamsicles? That creamy, vanilla ice cream covered in a layer of tart orange ice—delicious! Wrap yourself in nostalgia and channel the dream of eternal summer with this protein-filled concoction.",0 g,4-easy-whey-protein-recipes-graphics-1-header-960x540.jpg,2 scoop dymatize ISO-100;170 g nonfat plain Greek yogurt;1 tsp orange zest,67 g,Orange Dreamsicle Protein Ice Cream,https://www.bodybuilding.com/recipes/orange-dreamsicle-protein-ice-cream
54,6 g,"This classic play on a creamsicle comes in a compact, protein-packed ball. Now you can enjoy the much-loved pairing of creamy vanilla and refreshing citrus, minus the sticky mess.",2 g,orange-and-vanilla-protein-truffles-header-960x540.jpg,¼ cup rolled oats;¼ cup(s) vanilla whey protein powder;⅛ cup agave syrup;⅓ cup ground almonds;1 tbsp almond milk;¼ cup(s) pea protein powder;1 tsp orange zest,3 g,Orange And Vanilla Protein Truffles,https://www.bodybuilding.com/recipes/orange-and-vanilla-protein-truffles
58,8 g,"Who says you can't have your pie and eat it, too? Cut carbs and fat—and keep the taste—with this healthy take on traditional protein pie from IFPA and NGA Bikini pro Ashley Leahy. The best part? If you whip it up for Thanksgiving, you can help yourself to a guilt-free serving of seconds. Of course, Thanksgiving's not until November, so feel free to run a test batch or two in the interim. It's just that good!",1 g,crustless-protein-pumpkin-pie-header-960x540.jpg,"2 cup pumpkin, canned;12 oz almond milk;¾ cup liquid egg whites;1 tsp cinnamon;½ scoop optimum Nutrition Gold Standard 100% Whey, Pumpkin Pie;1 tsp vanilla extract;40 drop liquid Stevia",5 g,Crustless Protein Pumpkin Pie,https://www.bodybuilding.com/recipes/crustless-protein-pumpkin-pie
106,8 g,Skip the fat- and sugar-filled frappe and opt for this protein-fueled dark chocolate mocha instead!,3 g,dark-chocolate-protein-mocha-header-960x540.jpg,"½ cup whole milk;½ cup coffee;2 tbsp cocoa powder, unsweetened;¼ cup(s) casein protein powder",12 g,Dark Chocolate Protein Mocha,https://www.bodybuilding.com/recipes/dark-chocolate-protein-mocha
170,12 g,"This pork tenderloin is full of flavor, not calories. It's guaranteed to make your mouth water and your hungry muscles happy!",3 g,mustard-crusted-pork-tenderloin-header-960x540.jpg,"1½ lb pork tenderloin;½ cup balsamic vinegar;¼ cup brown mustard;¼ cup garlic, minced;¼ cup onion, finely chopped;2 tbsp, ground black pepper;2 tbsp, ground thyme;2 tbsp rosemary;½ tsp dill",25 g,Mustard-Crusted Pork Tenderloin,https://www.bodybuilding.com/recipes/mustard-crusted-pork-tenderloin
123,8 g,Who doesn't love cookie dough batter? Opt for a healthier alternative with these high-protein bars.,7 g,chocolate-chip-cookie-dough-bars-header-960x540.jpg,¼ cup(s) vanilla whey protein powder;2 tbsp natural peanut butter;1 tsp agave syrup;2 tsp water;1 square dark chocolate;½ tbsp coconut flour,7 g,Chocolate Chip Cookie Dough Protein Bars,https://www.bodybuilding.com/recipes/chocolate-chip-cookie-dough-protein-bars
415,37 g,"A good chili recipe should be a staple in everyone's kitchen. This one is particularly awesome because it's rich, flavorful, and has lots of muscle-building protein. Make a whole batch and you'll have healthy meals for an entire week!",13 g,double-beef-chili-header-960x540.jpg,"1 lb ground chicken breast;2 lb lean ground beef;15 oz pinto beans;1 16 oz can black beans, drained and rinsed;1 14 oz can kidney beans, canned;2 can diced tomatoes;1 28 oz can tomato sauce, canned;1 cup water;1 cup red wine vinegar;2 carrot, shredded;3 stalk, medium stalk celery, finely diced;1 onion, finely chopped;2 tbsp italian seasoning;1 tbsp garlic, minced;1 tbsp cayenne pepper",39 g,Double Beef Chili,https://www.bodybuilding.com/recipes/double-beef-chili
558,13 g,"I love crock pot recipes. They're just so convenient! This recipe is also super easy because it's made of ingredients you probably already have in your cabinets and fridge. If you're not a paprika fan, feel free to substitute other spices.",36 g,crockpot-paprika-pot-roast-header-960x540.jpg,"2⅓ lb pot roast;1 whole red onion, sliced;¼ cup balsamic vinegar;8 oz tomato sauce, canned;1 tbsp coconut oil;1¼ tbsp paprika;1 tbsp garlic powder;1 tbsp onion powder;1¼ tbsp italian seasoning",46 g,Crock Pot Paprika Pot Roast,https://www.bodybuilding.com/recipes/crock-pot-paprika-pot-toast
60,1 g,"I know, I know, butter in a cup of joe might seem really strange. I was doubtful myself—until I tried it! The butter takes some of the bitter bite out of the coffee, and the vanilla adds a little warmth and sweetness. This coffee has a thicker, more robust mouthfeel, which may take a little getting used to.",6 g,vanilla-butter-coffee-header-960x540.jpg,"1 cup coffee;1 tsp vanilla extract;½ tbsp butter, without salt (melted)",1 g,Vanilla Butter Coffee,https://www.bodybuilding.com/recipes/vanilla-butter-coffee
265,9 g,"Those candy canes you've got hanging on the tree are for more than just decoration. Put them to good use with this protein-packed take on peppermint bark! The sweet, minty combination of this seasonal dessert is sure to be a hit.",15 g,peppermint-bark-header-960x540.jpg,1 scoop(s) vanilla whey protein powder;1 tbsp extra virgin coconut oil;⅛ tsp peppermint extract;1 tbsp water;1 piece candy cane;⅛ tsp cake sprinkles,24 g,Peppermint Bark,https://www.bodybuilding.com/recipes/peppermint-bark
204,32 g,In the mood for fresh-baked oatmeal raisin cookies? Bake up a batch of these protein-rich morsels to satisfy your sweet tooth and support your fitness goals!,6 g,jamie-easons-protein-oatmeal-raisin-cookies-graphics-2-header-960x540.jpg,¼ cup natural almond butter;2 tbsp maple syrup;2 large egg whites;¼ cup unsweetened applesauce;1 tbsp vanilla extract;1½ cup raw oats;½ cup almond flour;16 tbsp xylitol;½ tsp cinnamon;½ tsp baking soda;¼ cup raisins;1 scoop,7 g,Jamie Eason's Protein Oatmeal Raisin Cookies,https://www.bodybuilding.com/recipes/jamie-easons-protein-oatmeal-raisin-cookies
313,26 g,"Get ready to hit the kitchen and break out your food scale. After a little bit of baking, you can pass on the cheese tonight and enjoy something a bit tastier with these fantastic recipes brought to you by Grenade's athletes!",17 g,6-sweet-nighttime-protein-treats-graphics-2-header-960x540.jpg,"½ cup strawberries;3 tbsp coconut flour;2 scoop hydra 6 protein vanilla;¼ cup milk, fat-free;1 tbsp coconut oil;4 square dark chocolate;½ cup strawberries",15 g,Strawberry Protein Bars,https://www.bodybuilding.com/recipes/strawberry-protein-bars
292,57 g,"Who doesn't love a good slice of carrot cake? This dessert-like oatmeal dish takes the spicy, spongy cake and turns it into an easy anytime treat. The dried, unsweetened cranberries pack a lot of sweetness without destroying your macros. So go ahead, and dig into a guilt-free bowl!",4 g,nutty-carrot-cake-oatmeal-header-960x540.jpg,"¾ cup rolled oats;¼ cup carrot, shredded;2 tbsp almond milk;1 tbsp dried cranberries;2 tsp powdered Stevia;½ tsp cinnamon;¼ tsp allspice, ground",7 g,Nutty Carrot Cake Oatmeal,https://www.bodybuilding.com/recipes/nutty-carrot-cake-oatmeal
503,106 g,Green fruit smoothie,7 g,5-must-try-paleo-smoothie-recipes-graphics-5-square-960x540.jpg,"½ cup grapes;1 banana, frozen;1 granny smith apple;1 cup spinach;1½ cup coconut water, unsweetened;1 tsp coconut oil;2 tbsp honey;1 tsp ground flaxseed",4 g,Green Fruit Smoothie,https://www.bodybuilding.com/recipes/green-fruit-smoothie
179,11 g,I was really happy with the way these turned out! The texture is amazing and the flavor is even better. Have one or two with your evening cuppa and you'll wonder how you ever got along without them.,13 g,coconut-almond-cookies-header-960x540.jpg,"¼ cup coconut butter;1 cup natural almond butter;1 cup, shredded coconut, shredded;½ cup almond flour;1 tsp baking powder;1 tsp vanilla extract;1 egg;¼ cup honey",4 g,Coconut Almond Cookies,https://www.bodybuilding.com/recipes/coconut-almond-cookies
267,3 g,There's nothing complicated or difficult about this recipe. Let's get into the kitchen and build some muscle!,5 g,super-hero-chicken-header-960x540.jpg,"12 oz chicken breast;1 tsp honey;1 tsp orange juice, fresh squeezed;1 tsp lemon juice",51 g,Super Hero Chicken,https://www.bodybuilding.com/recipes/super-hero-chicken
407,38 g,"This sweet and sour chicken recipe is the best! It's simple, delicious, and works in any fit kitchen. Even better: this recipe makes enough food to feed about four people. Now you can wow your friends or parents when they come for dinner.",6 g,livefit-sweet-sour-chicken-header-960x540.jpg,"3 piece chicken breast;2 tsp garlic salt;½ tsp, ground black pepper;½ cup low-sodium chicken broth;½ cup white vinegar;2 serving 1 packet splenda;1 tbsp light soy sauce;3 tbsp low-sugar ketchup;1 cup brown rice",49 g,Jamie Eason's Sweet and Sour Chicken Recipe,https://www.bodybuilding.com/recipes/jamie-easons-sweet-and-sour-chicken
394,42 g,Don't steer clear of big bad ground beef. Choose a lean variety and start experimenting!,11 g,beef-noodle-soup-header-960x540.jpg,"1 lb lean ground beef;2 cup low-sodium beef broth;1 cup water;1 cup strips or slices carrots;1 cup stalk celery, finely diced;2 cup broccoli;½ cup snow peas;8 oz bean sprouts, canned;1 clove garlic, minced;2 cup spaghetti whole-wheat pasta",31 g,Beef Noodle Soup,https://www.bodybuilding.com/recipes/beef-noodle-soup
424,28 g,"Replacing pasta sheets composed of refined white flour with thin slices of sweet potato is what makes this dish a standout. Instead of delving into the nutritional zero, you'll be filling yourself with complex carbs to help power through your workout. Not only are these iron-containing tubers rich in vitamins D, C, and B6, but they're also budget-friendly. It's a win for your wallet and your waistline.",5 g,budget-sweet-potato-lasagna-header-960x540.jpg,"1½ lb ground 99% fat-free turkey breast;2 cup sweet potato, sliced;1 egg whites;½ cup fat-free cottage cheese;4 oz fat-free mozzarella cheese;2 small whole (2-2/5  dia) tomatoes;15 oz low-sodium tomato sauce;⅓ cup mushrooms, sliced;⅓ cup red onion, diced;1 tbsp garlic, pureed;½ cup cilantro;1 tbsp italian seasoning;salt and pepper to taste",68 g,Budget Sweet Potato Lasagna,https://www.bodybuilding.com/recipes/budget-sweet-potato-lasagna
387,37 g,"Look, we'd be remiss if we just gave you a dozen sweet treats. This staple meal is a bodybuilder's go-to for gains down the road back to fit. The combo of salmon, brown rice, and broccoli is as classic as Arnold's physique. When seasoned correctly, it delivers a burst of flavor. This recipe will get you full, fit, and satisfied!",9 g,bill-phillips_back-to-fit-recipes_graphic-9_lemon-peppered-salmon-header-960x540.jpg,"½ cup cooked brown rice;2 tbsp fat-free mayonnaise;1 tsp, ground black pepper;2 whole lemon;12 oz salmon, smoked;3 cup broccoli;3 whole green onion, chopped;1¼ cup flat-leaf parsley",39 g,Bill Phillips Back To Fit Recipes: Lemon-Pepper Salmon Fillet,https://www.bodybuilding.com/recipes/bill-phillips-back-to-fit-recipes-lemon-pepper-salmon-fillet
192,34 g,"Stuffed peppers aren't just for ground meat. Swap your lean protein for a carb-packed pepper by using oatmeal as your filler. This vegetarian-friendly take on the classic dish adds a protein punch with black beans and Greek yogurt, while keeping all the classic flavors with shredded cheese and seasonings like paprika and cumin. One taste, and you'll be hooked.",3 g,southwestern-red-pepper-oatmeal-header-960x540.jpg,"¾ cup rolled oats;1 red bell pepper, sliced;1 tbsp plain Greek yogurt;¼ cup mozzarella cheese;1 tsp paprika;½ tsp cumin;¼ cup black beans, drained and rinsed;¼ cup corn;salt and pepper to taste;1 tsp cilantro",7 g,Southwestern Red Pepper Oatmeal,https://www.bodybuilding.com/recipes/southwestern-red-pepper-oatmeal
135,6 g,"If you like it spicy, this recipe is right up your alley. Chili peppers, jalapenos, and salsa turn ground turkey into a zesty meal. Throw the meatballs in some tomato sauce, or plate them with vegetables and a complex carb. They're also perfect to pack as a lunch.",2 g,spicy-turkey-meatballs-header-960x540.jpg,"1½ lb ground 99% fat-free turkey breast;1 whole egg;2 large egg whites;¾ cup raw oats;2 tbsp jalapeno pepper, diced;½ tsp chili powder;¼ cup salsa;½ whole green pepper, chopped;½ red bell pepper, chopped",23 g,Spicy Turkey Meatballs,https://www.bodybuilding.com/recipes/spicy-turkey-meatballs
346,28 g,"This turkey burger delivers a pleasing combination of fresh flavors. The cheese pairs with tomatoes to create an experience you won't forget. This recipe is high in protein and low in fat, a great option for people on a cutting diet.",8 g,tomato-turkey-burgers-header-960x540.jpg,"1 lb ground 99% fat-free turkey breast;3 oz fat-free mozzarella cheese;1 tomato, diced;1 tsp garlic, minced;1 tbsp olive oil;1 cup slices cucumber, chopped;4 tbsp fat-free mayonnaise;4 whole-wheat hamburger buns",41 g,Tomato Turkey Burgers,https://www.bodybuilding.com/recipes/tomato-turkey-burgers
367,35 g,A tasty and fun winter recipe.,12 g,recipes-for-bodybuilders-15-header-960x540.jpg,"1 lb lean ground beef;1 cup onion, finely chopped;1 small green bell pepper;1 can diced tomatoes;1 tsp chili powder;⅛ cup, chopped roasted red pepper;1 oz kidney beans, canned;1 can drained chickpeas, canned;1 15 oz can corn;1 can (6 oz) tomato paste;6 fl oz water;½ tsp cumin",30 g,Challenge Chili,https://www.bodybuilding.com/recipes/challenge-chili
531,63 g,"It's a simple formula: Eat big to get big. This great post-workout meal will reward your muscles for a job well done. Caution: After sinking your teeth into this, you'll never see a sweet potato the same way again. Sorry.",10 g,spicy-bbq-bison-stuffed-sweet-potato-header-960x540.jpg,"6 oz bison steak, cut into cubes;250 g sweet potato;1 cup asparagus;2 tbsp low-sodium barbecue sauce;1 tbsp goat cheese",48 g,Spicy Barbecue Bison Stuffed Sweet Potato With Grilled Asparagus,https://www.bodybuilding.com/recipes/spicy-barbecue-bison-stuffed-sweet-potato-with-grilled-asaparagus
392,26 g,"Oh, I know what you're thinking: tuna and apple, you're crazy! I promise you, the texture and taste combo of apple and tuna is great. The best part about this salad is its versatility. Eat it as it is, on a sandwich, or make a lettuce wrap. Whichever option you go for, it'll be a good decision.",3 g,tuna-apple-salad-header-960x540.jpg,"2 tbsp stalk celery, finely diced;2 can tuna, canned in water;1 tbsp relish, sweet;½ apple, sliced;¼ tsp garlic powder;3 tbsp fat-free mayonnaise",65 g,Tuna Apple Salad,https://www.bodybuilding.com/recipes/tuna-apple-salad
502,18 g,"This fresh, delicious salad is so good you don't even need dressing! The bright taste of blackberries and oranges balances perfectly with the salty crunch of the sunflower seeds and the savory chicken. Eat up!",30 g,orange-pecan-chicken-salad-header-960x540.jpg,7 whole blackberries;¼ cup pecans;1 tbsp sunflower seeds;¼ orange;1 cup mixed salad greens;4 oz chicken breast,40 g,Orange Pecan Chicken Salad,https://www.bodybuilding.com/recipes/orange-pecan-chicken-salad
